[17:02:16] [INFO] received Windows console close event; shutting log-core down
[19:35:40] [INFO] received Windows console close event; shutting log-core down
[19:37:40] [INFO] received Windows console close event; shutting log-core down
[02:14:44] [INFO] received Windows console close event; shutting log-core down
[15:54:49] [INFO] received Windows console close event; shutting log-core down
[19:37:54] [INFO] received Windows console close event; shutting log-core down
[14:16:20] [INFO] received Windows console close event; shutting log-core down
[16:07:09] [INFO] received Windows console close event; shutting log-core down
[16:40:46] [INFO] received Windows console close event; shutting log-core down
[16:41:01] [INFO] received Windows console close event; shutting log-core down
[16:44:39] [INFO] received Windows console close event; shutting log-core down
[16:45:22] [INFO] received Windows console close event; shutting log-core down
[16:49:13] [INFO] received Windows console close event; shutting log-core down
[16:52:48] [INFO] received Windows console close event; shutting log-core down
[17:09:35] [INFO] received Windows console close event; shutting log-core down
[19:17:53] [INFO] received Windows console close event; shutting log-core down
[19:40:33] [INFO] received Windows console close event; shutting log-core down
[20:12:32] [INFO] received Windows console close event; shutting log-core down
